lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,36653.644934895834,55012.779600515656,0.4767964998454875
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,60693.681806747416,97463.21463728289,0.7190337060202461
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,27497.330286062992,43063.07527584089,0.34684773017306064
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,30424.54738758778,62895.19251204038,0.28855155080941963
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27986.40461055871,45106.61707395241,0.2907057013538353
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22846.078952645617,44255.57870614438,0.19694055549928222
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27695.513133285986,45447.75748924659,0.30999129857274
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,33594.10287516375,72308.99955417482,0.2665186191186991
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,144722.42799064866,230134.8890397243,0.9356479719348847
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,144762.82723535513,230329.41013943247,0.9345919919205005
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,144709.43721354168,230132.06740561998,0.9349613326642926
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,144767.52199965113,230332.5195460155,0.9346842378701459
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,144723.8683741714,230136.50003532003,0.9356313637196377
1,0,150,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,144762.85815311028,230329.5664915791,0.9345797697788532
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,26475.898835819127,40408.9461756262,0.2923867573471217
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,33498.69456613571,63748.90739349265,0.36648428954540857
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,32571.556979166668,50278.93216687794,0.35780194009788063
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,34437.44732080137,77665.90603893256,0.2988461324088674
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32003.555460464017,50626.95698687807,0.4105887276365215
1,0,150,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,41108.08105706068,74985.86697524592,0.4634402588324472
