data,estados,consumo
199012,AP,2972
199101,AP,2208
199102,AP,379
199103,AP,1464
199104,AP,798
199105,AP,1675
199106,AP,2942
199107,AP,3750
199108,AP,2489
199109,AP,3067
199110,AP,4125
199111,AP,3690
199112,AP,3844
199201,AP,3477
199202,AP,2771
199203,AP,2911
199204,AP,4331
199205,AP,4386
199206,AP,3814
199207,AP,6455
199208,AP,4306
199209,AP,5185
199210,AP,6440
199211,AP,5384
199212,AP,6231
199301,AP,5089
199302,AP,4000
199303,AP,2681
199304,AP,5692
199305,AP,4022
199306,AP,4586
199307,AP,5823
199308,AP,5235
199309,AP,5620
199310,AP,4269
199311,AP,4585
199312,AP,3960
199401,AP,5171
199402,AP,3210
199403,AP,2958
199404,AP,3051
199405,AP,2910
199406,AP,2438
199407,AP,2041
199408,AP,3354
199409,AP,3154
199410,AP,3236
199411,AP,4893
199412,AP,4210
199501,AP,4042
199502,AP,3769
199503,AP,2660
199504,AP,2869
199505,AP,3341
199506,AP,4352
199507,AP,4788
199508,AP,5333
199509,AP,3312
199510,AP,4861
199511,AP,4709
199512,AP,3793
199601,AP,4740
199602,AP,2967
199603,AP,3163
199604,AP,3293
199605,AP,5030
199606,AP,4100
199607,AP,6686
199608,AP,5081
199609,AP,2504
199610,AP,4271
199611,AP,6546
199612,AP,6465
199701,AP,8407
199702,AP,3108
199703,AP,3940
199704,AP,3970
199705,AP,6139
199706,AP,7441
199707,AP,7225
199708,AP,6823
199709,AP,5381
199710,AP,6115
199711,AP,6158
199712,AP,7769
199801,AP,6849
199802,AP,4398
199803,AP,5321
199804,AP,5449
199805,AP,7307
199806,AP,4723
199807,AP,9051
199808,AP,5326
199809,AP,5635
199810,AP,5250
199811,AP,5698
199812,AP,5006
199901,AP,7834
199902,AP,3634
199903,AP,6247
199904,AP,3801
199905,AP,4244
199906,AP,6120
199907,AP,5345
199908,AP,7282
199909,AP,7300
199910,AP,8118
199911,AP,9516
199912,AP,8217
200001,AP,8810
200002,AP,4846
200003,AP,3510
200004,AP,3197
200005,AP,4609
200006,AP,5695
200007,AP,6283
200008,AP,6390
200009,AP,6887
200010,AP,7332
200011,AP,8838
200012,AP,6977
200101,AP,8583.333333333334
200102,AP,8583.333333333334
200103,AP,8583.333333333334
200104,AP,8583.333333333334
200105,AP,8583.333333333334
200106,AP,8583.333333333334
200107,AP,8583.333333333334
200108,AP,8583.333333333334
200109,AP,8583.333333333334
200110,AP,8583.333333333334
200111,AP,8583.333333333334
200112,AP,8583.333333333334
200201,AP,7083.333333333333
200202,AP,7083.333333333333
200203,AP,7083.333333333333
200204,AP,7083.333333333333
200205,AP,7083.333333333333
200206,AP,7083.333333333333
200207,AP,7083.333333333333
200208,AP,7083.333333333333
200209,AP,7083.333333333333
200210,AP,7083.333333333333
200211,AP,7083.333333333333
200212,AP,7083.333333333333
200301,AP,10392.0
200302,AP,6857.0
200303,AP,7011.0
200304,AP,7122.0
200305,AP,5267.0
200306,AP,5539.0
200307,AP,7714.0
200308,AP,7740.0
200309,AP,6882.0
200310,AP,7066.0
200311,AP,5797.0
200312,AP,7706.0
200401,AP,10000.0
200402,AP,6136.0
200403,AP,5122.0
200404,AP,3926.0
200405,AP,6197.0
200406,AP,7552.0
200407,AP,5796.0
200408,AP,5979.0
200409,AP,7271.0
200410,AP,6552.0
200411,AP,8809.0
200412,AP,6668.0
200501,AP,9759.0
200502,AP,4782.0
200503,AP,7803.0
200504,AP,4400.0
200505,AP,4460.0
200506,AP,10613.0
200507,AP,7421.0
200508,AP,11699.0
200509,AP,9440.0
200510,AP,7688.0
200511,AP,11977.0
200512,AP,14155.0
200601,AP,6912.0
200602,AP,6760.0
200603,AP,14450.0
200604,AP,8618.0
200605,AP,8818.0
200606,AP,7726.0
200607,AP,6999.0
200608,AP,9315.0
200609,AP,12122.0
200610,AP,9287.0
200611,AP,14666.0
200612,AP,9867.0
200701,AP,14985.0
200702,AP,10988.0
200703,AP,16338.0
200704,AP,8870.0
200705,AP,11095.0
200706,AP,6493.0
200707,AP,9051.0
200708,AP,11339.0
200709,AP,15643.0
200710,AP,5969.0
200711,AP,10398.0
200712,AP,13877.0
200801,AP,9107
200802,AP,7360
200803,AP,13530
200804,AP,6724
200805,AP,9963
200806,AP,10101
200807,AP,7768
200808,AP,11920
200809,AP,7539
200810,AP,11505
200811,AP,10349
200812,AP,10500
200901,AP,11810
200902,AP,4505
200903,AP,9672
200904,AP,6741
200905,AP,7113
200906,AP,6048
200907,AP,8129
200908,AP,9164
200909,AP,9802
200910,AP,13503
200911,AP,13739
200912,AP,12503
201001,AP,13688
201002,AP,8696
201003,AP,11639
201004,AP,8572
201005,AP,8742
201006,AP,14176
201007,AP,15360
201008,AP,14198
201009,AP,16247
201010,AP,12404
201011,AP,12009
201012,AP,15811
201101,AP,15404
201102,AP,11193
201103,AP,9357
201104,AP,11456.0
201105,AP,15365.0
201106,AP,12067.0
201107,AP,12195.0
201108,AP,13571.0
201109,AP,13957.0
201110,AP,13166.0
201111,AP,15633.0
201112,AP,18606.0
201201,AP,16481.0
201202,AP,16803.0
201203,AP,14899.0
201204,AP,18744.0
201205,AP,17009.0
201206,AP,17839.0
201207,AP,29446.0
201208,AP,24859.0
201209,AP,28779.0
201210,AP,29925.0
201211,AP,22249.0
201212,AP,24087.0
201301,AP,19544.0
201302,AP,22741.0
201303,AP,25145.0
201304,AP,22572.0
201305,AP,21952.0
201306,AP,20633.0
201307,AP,18092.0
201308,AP,19537.0
201309,AP,14595.0
201310,AP,15461.0
201311,AP,22239.0
201312,AP,28008.0
201401,AP,20083.0
