estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego
MS,199105,17761994.135208584,263.3455628833333,0.8948296328257573,1780385.0,1512447.8415632662,31.63,4.86,6.53,0.2520151818,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681
MT,199105,15774211.474279638,239.79140486583336,0.6896029317325756,2026069.0,917530.3097639418,31.63,4.86,6.53,0.2520151818,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968
PA,199105,38519403.96713909,547.9075047416667,0.6949992538393939,4949222.0,2881585.7316342546,31.63,4.86,6.53,0.2520151818,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809
PB,199105,15228125.807876166,226.8932865933333,0.4290942639477272,3201324.0,1181041.4670851517,31.63,4.86,6.53,0.2520151818,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914
PE,199105,48024716.68605776,759.862165,0.6075250298659092,7127956.0,3967753.4994434356,31.63,4.86,6.53,0.2520151818,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051
PI,199105,10002226.934323858,121.74606935000001,0.348636166935606,2582075.0,391981.5154701316,31.63,4.86,6.53,0.2520151818,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351
PR,199105,100885415.44626269,1607.96787525,1.0794733250818178,8448620.0,9876829.210784007,31.63,4.86,6.53,0.2520151818,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145
RJ,199105,255345508.76549315,3198.5135341666664,1.8000761350946968,12807197.0,13345761.52401089,31.63,4.86,6.53,0.2520151818,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871
RN,199105,10442517.279674483,206.13360423249998,0.3879013145,2415077.0,1374234.5332742266,31.63,4.86,6.53,0.2520151818,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525
RO,199105,8281223.131654689,117.68568308416667,0.6435263956310607,1133265.0,864245.6336599849,31.63,4.86,6.53,0.2520151818,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991
RR,199105,2347533.189476444,26.403691521666666,0.9457090892007578,217583.0,107623.91233771757,31.63,4.86,6.53,0.2520151818,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912
RS,199105,125504986.71699497,2103.6149924083334,1.2374819289219696,9138463.0,7424140.666597548,31.63,4.86,6.53,0.2520151818,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091
SC,199105,73143730.4489542,953.5325861166667,1.4470077956454543,4542048.0,2501793.6997974375,31.63,4.86,6.53,0.2520151818,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367
SE,199105,11748139.292123673,167.17625940083335,0.7062300704545453,1491878.0,1033465.5856841668,31.63,4.86,6.53,0.2520151818,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202
SP,199105,667092183.3339455,9577.728017,1.8971287843234848,31588794.0,34667558.19294736,31.63,4.86,6.53,0.2520151818,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392
TO,199105,6420870.376203272,47.158167479166664,0.627354753239394,918400.0,2385.3617270406585,31.63,4.86,6.53,0.2520151818,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559
AC,199106,3355378.776048474,41.66828039083333,0.7170019872507575,417102.0,190750.06377223905,38.61,5.73,9.86,0.41944995,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199106,14359462.141839314,219.5094844683333,0.5121019847810607,2512658.0,934467.483398436,38.61,5.73,9.86,0.41944995,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199106,14861332.804671992,528.0985542833333,0.6292012682121212,2102766.0,1782966.237482162,38.61,5.73,9.86,0.41944995,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199106,2615894.4960831203,49.67524315,0.8008473707371212,289035.0,75002.20766176752,38.61,5.73,9.86,0.41944995,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199106,65070756.49748045,1364.6715254666667,0.4918417609871211,11867336.0,5909303.700519695,38.61,5.73,9.86,0.41944995,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199106,30638386.386207998,553.4258365333333,0.4326033223537879,6366132.0,3444559.4902012185,38.61,5.73,9.86,0.41944995,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199106,68604484.73729812,674.70742495,3.8288271208545455,1601093.0,1630371.6206635202,38.61,5.73,9.86,0.41944995,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199106,33180232.908959463,511.8513492666666,1.1429481337909086,2600619.0,2622980.8168147,38.61,5.73,9.86,0.41944995,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199106,41766367.987940975,574.4962966166668,0.9310734782939396,4017506.0,2291020.0536657567,38.61,5.73,9.86,0.41944995,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
