estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1993-04-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,21.28,164.85,28.21,1.412280737,0.645,0.574,0.176,20.33,4984414.32371892
AC,1993-05-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,40.6,238.19,32.27,1.290365143,0.645,0.574,0.176,21.44,4984414.32371892
AC,1993-06-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,27.13,339.88,30.72,1.327698476,0.645,0.574,0.176,21.7,4984414.32371892
AC,1993-07-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,33.73,475.02,31.96,1.295272727,0.645,0.574,0.176,21.74,4984414.32371892
AC,1993-08-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,28.42,664.54,33.53,1.360999955,0.645,0.574,0.176,22.34,4984414.32371892
AC,1993-09-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,40.09,937.41,36.99,1.518460333,0.645,0.574,0.176,23.61,4984414.32371892
AC,1993-10-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,34.03,1289.3,35.14,1.6381666,0.645,0.574,0.176,24.53,4984414.32371892
AC,1993-11-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,38.4,1783.33,36.96,1.63748325,0.645,0.574,0.176,25.36,4984414.32371892
AC,1993-12-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,32.99,2477.15,36.22,1.485579739,0.645,0.574,0.176,27.12,4984414.32371892
AC,1994-01-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,45.93,41.31,42.19,1.709619,0.645,0.574,0.176,29.68,5101688.21675297
AC,1994-02-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,39.14,98.22,42.41,1.966870333,0.645,0.574,0.176,32.08,5101688.21675297
AC,1994-03-01,338025.32432320167,45696.360941666666,0.706145142325,380703.619735383,446480.0,55.71,182.96,44.83,1.748287864,0.645,0.574,0.176,34.79,5101688.21675297
