data,estados,consumo
200906,TO,104410.0
200907,AC,18110.0
200908,AL,231263.0
200909,AM,240886.0
200910,AP,57833.0
200911,BA,1167179.0
200912,CE,598321.0
201001,DF,695062.0
201002,ES,490588.0
201003,GO,841763.0
201004,MA,196872.0
201005,MG,2874126.0
201006,MS,322560.0
201007,MT,334629.0
201008,PA,383405.0
201009,PB,291890.0
201010,PE,789245.0
201011,PI,129987.0
201012,PR,2055251.0
201101,RJ,2616910.0
201102,RN,172127.0
201103,RO,97753.0
201104,RR,22387.0
201105,RS,1421644.0
201106,SC,1063162.0
201107,SE,210611.0
201108,SP,7318807.0
201109,TO,107581.0
201110,AC,19688.0
201111,AL,224604.0
201112,AM,247101.0
201201,AP,55562.0
201202,BA,1191190.0
201203,CE,584480.0
201204,DF,699699.0
201205,ES,495726.0
201206,GO,852757.0
201207,MA,194114.0
201208,MG,2881770.0
201209,MS,329079.0
201210,MT,337269.0
201211,PA,390388.0
201212,PB,290702.0
201301,PE,786245.0
201302,PI,137907.0
201303,PR,2043384.0
201304,RJ,2610450.0
201305,RN,168656.0
201306,RO,99933.0
201307,RR,23688.0
201308,RS,1420304.0
201309,SC,1068209.0
201310,SE,208501.0
201311,SP,7339829.0
201312,TO,109376.0
201401,AC,20934.0
201402,AL,227590.0
201403,AM,250360.0
201404,AP,55644.0
201405,BA,1193580.0
201406,CE,558915.0
201407,DF,688183.0
201408,ES,497379.0
201409,GO,849789.0
201410,MA,192647.0
201411,MG,2876079.0
201412,MS,332421.0
201501,MT,339634.0
201502,PA,391617.0
201503,PB,327353.0
201504,PE,781415.0
201505,PI,143748.0
201506,PR,2038651.0
201507,RJ,2589838.0
201508,RN,170759.0
201509,RO,99447.0
201510,RR,22109.0
201511,RS,1445125.0
201512,SC,1067679.0
201601,SE,208567.0
201602,SP,7332556.0
201603,TO,111666.0
201604,AC,20870.0
201605,AL,223304.0
201606,AM,254520.0
201607,AP,54854.0
201608,BA,1187075.0
201609,CE,548619.0
201610,DF,688738.0
201611,ES,500789.0
201612,GO,859407.0
201701,MA,191727.0
201702,MG,2893224.0
201703,MS,339372.0
201704,MT,346097.0
201705,PA,403353.0
201706,PB,343251.0
201707,PE,775742.0
201708,PI,146086.0
201709,PR,2015274.0
201710,RJ,2583961.0
201711,RN,171986.0
201712,RO,101059.0
201801,RR,20625.0
201802,RS,1446304.0
201803,SC,1068505.0
201804,SE,208064.0
201805,SP,7362115.0
201806,TO,113260.0
201807,AC,20760.0
201808,AL,216383.0
201809,AM,252467.0
201810,AP,55131.0
201811,BA,1195706.0
201812,CE,531495.0
201901,DF,677171.0
201902,ES,495601.0
201903,GO,850645.0
201904,MA,189853.0
201905,MG,2860904.0
201906,MS,345635.0
201907,MT,343066.0
201908,PA,399411.0
201909,PB,358766.0
201910,PE,768533.0
201911,PI,146543.0
201912,PR,1980626.0
199101,RJ,2555952.0
199102,RN,174519.0
199103,RO,97773.0
199104,RR,19830.0
199105,RS,1438293.0
199106,SC,1058192.0
199107,SE,204010.0
199108,SP,7285887.0
199109,TO,112484.0
199110,AC,20824.0
199111,AL,210680.0
199112,AM,250116.0
199201,AP,52490.0
199202,BA,1168066.0
199203,CE,517849.0
199204,DF,667474.0
199205,ES,496731.0
199206,GO,848292.0
199207,MA,188275.0
199208,MG,2850071.0
199209,MS,348140.0
199210,MT,340848.0
199211,PA,395025.0
199212,PB,351345.0
199301,PE,747603.0
199302,PI,142849.0
199303,PR,1910610.0
199304,RJ,2529615.0
199305,RN,177925.0
199306,RO,96749.0
199307,RR,20213.0
199308,RS,1441513.0
199309,SC,1050216.0
199310,SE,195847.0
199311,SP,7234573.0
199312,TO,113322.0
199401,AC,20770.0
199402,AL,212303.0
199403,AM,246455.0
199404,AP,51378.0
199405,BA,1155893.0
199406,CE,521857.0
199407,DF,656066.0
199408,ES,501501.0
199409,GO,848081.0
199410,MA,188641.0
199411,MG,2866083.0
199412,MS,356158.0
199501,MT,349283.0
199502,PA,400404.0
199503,PB,350597.0
199504,PE,742279.0
199505,PI,140921.0
199506,PR,1847847.0
199507,RJ,2527366.0
199508,RN,183924.0
199509,RO,94716.0
199510,RR,19096.0
199511,RS,1449716.0
199512,SC,1036672.0
199601,SE,196449.0
199602,SP,7231017.0
199603,TO,114925.0
199604,AC,20293.0
199605,AL,211072.0
199606,AM,237981.0
199607,AP,49230.0
199608,BA,1165387.0
199609,CE,517362.0
199610,DF,648909.0
199611,ES,500192.0
199612,GO,858171.0
199701,MA,186664.0
199702,MG,2848988.0
199703,MS,366963.0
199704,MT,359281.0
199705,PA,410852.0
199706,PB,349587.0
199707,PE,742556.0
199708,PI,143287.0
199709,PR,1750534.0
199710,RJ,2495377.0
199711,RN,182037.0
199712,RO,93307.0
199801,RR,17851.0
199802,RS,1464668.0
199803,SC,1023764.0
199804,SE,197362.0
199805,SP,7158090.0
199806,TO,116157.0
199807,AC,19640.0
199808,AL,211398.0
199809,AM,233863.0
199810,AP,45448.0
199811,BA,1146302.0
199812,CE,505631.0
199901,DF,628165.0
199902,ES,496520.0
199903,GO,853397.0
199904,MA,182502.0
199905,MG,2816772.0
199906,MS,367381.0
199907,MT,357174.0
199908,PA,417155.0
199909,PB,346847.0
199910,PE,735840.0
199911,PI,145286.0
199912,PR,1706491.0
200001,RJ,2457268.0
200002,RN,182511.0
200003,RO,92065.0
200004,RR,16631.0
200005,RS,1469877.0
200006,SC,993834.0
200007,SE,190071.0
200008,SP,7054936.0
200009,TO,117200.0
200010,AC,19985.0
200011,AL,212873.0
200012,AM,235537.0
200101,AP,43567.0
200102,BA,1142108.0
200103,CE,497220.0
200104,DF,627966.0
200105,ES,502084.0
200106,GO,872479.0
200107,MA,183904.0
200108,MG,2823076.0
200109,MS,371064.0
200110,MT,372491.0
200111,PA,426501.0
200112,PB,350366.0
200201,PE,723222.0
200202,PI,146624.0
200203,PR,1671438.0
200204,RJ,2481741.0
200205,RN,186008.0
200206,RO,92307.0
200207,RR,15329.0
200208,RS,1505619.0
200209,SC,995293.0
200210,SE,189236.0
200211,SP,7095317.0
200212,TO,120474.0
200301,AC,20057.0
200302,AL,210635.0
200303,AM,232898.0
200304,AP,41101.0
200305,BA,1164432.0
200306,CE,509723.0
200307,DF,635793.0
200308,ES,514587.0
200309,GO,904337.0
200310,MA,178076.0
200311,MG,2913333.0
200312,MS,376480.0
200401,MT,393162.0
200402,PA,439068.0
200403,PB,350540.0
200404,PE,719923.0
200405,PI,146025.0
200406,PR,1712174.0
200407,RJ,2555396.0
200408,RN,190052.0
200409,RO,91724.0
200410,RR,15201.0
200411,RS,1548210.0
200412,SC,1016247.0
200501,SE,189877.0
200502,SP,7233424.0
200503,TO,123849.0
200504,AC,20016.0
200505,AL,212171.0
200506,AM,232670.0
200507,AP,40068.0
200508,BA,1186396.0
200509,CE,505520.0
200510,DF,625537.0
200511,ES,519421.0
200512,GO,915196.0
200601,MA,176854.0
200602,MG,2981386.0
200603,MS,377833.0
200604,MT,403343.0
200605,PA,451502.0
200606,PB,349229.0
200607,PE,707186.0
200608,PI,146488.0
200609,PR,1728097.0
200610,RJ,2569659.0
200611,RN,194563.0
