data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
200602,6443.0,25234.0,47766.0,6760.0,137490.0,67351.0,58368.0,57632.0,119408.0,46215.0,375813.0,32601.0,46637.0,77429.0,35468.0,94145.0,19537.0,154356.0,250819.0,35791.0,14323.0,3467.0,160527.95,136733.0,19740.0,745809.7,29357.0
200603,9429.0,33238.0,63751.501000000004,14450.0,175839.0,80250.0,62490.0,63970.0,141839.0,47645.0,441698.0,42728.0,58270.0,89122.0,40803.0,116660.0,24866.0,196251.0,330200.0,44472.0,18022.0,4437.0,195809.0,166125.94,24599.0,969343.0,29126.0
200604,7627.0,23230.0,39106.0,8618.0,133213.0,60193.0,54739.0,48573.0,112504.0,34471.0,389598.0,37874.0,41169.0,84446.0,26305.0,83930.0,17565.0,162619.0,270149.0,32340.0,18153.0,2394.0,159962.0,137965.0,20716.0,840438.04,18553.0
200605,9283.0,24302.0,56475.867,8818.0,169039.0,77034.0,68501.0,57372.0,154131.0,48018.0,465695.0,42090.0,58919.0,88899.0,33667.0,100055.0,25566.0,197991.0,314374.0,42359.0,24051.0,2040.0,183965.42,163144.3,22626.0,974085.75,22552.0
200606,7826.0,19608.0,41108.0,7726.0,141216.0,82997.0,60010.0,53370.0,148657.0,51261.0,418447.0,41427.0,60095.0,95124.0,28367.2,85454.0,26943.0,183933.0,297170.0,38437.0,19856.0,2291.0,162528.262,151967.0,18272.0,905143.15,18245.0
200607,7907.0,21908.0,59762.7,6999.0,155953.0,88693.0,62021.0,54255.0,155052.0,55481.0,440917.0,44939.0,61492.0,98140.0,29610.0,88345.0,28877.0,188029.0,322005.0,45045.0,24547.0,2365.0,174380.2,158404.0,17882.0,952021.0,27738.0
200608,15133.0,26927.0,63997.04,9315.0,185222.0,100211.0,71527.0,58264.0,166656.0,67221.0,479363.0,49562.0,71167.0,101739.0,36666.0,103376.0,31146.0,201402.0,331806.0,50670.0,31799.0,3013.0,184400.0,171917.0,24696.0,995243.0,28597.0
200609,12318.0,26885.0,56749.14,12122.0,178863.0,97804.0,68051.0,54972.0,158784.0,66365.0,437792.0,47439.0,62628.0,108266.0,38206.2,104198.0,29297.0,179982.0,310371.0,45984.0,23772.0,1843.0,171344.0,161125.9,24177.0,928490.4,26180.0
200610,11558.0,27027.0,50073.953,9287.0,171744.0,99213.0,60180.0,54028.0,165031.0,67593.0,445573.0,48032.0,68882.0,113029.0,38481.2,101954.0,33556.0,192452.0,321177.558,47164.0,24950.0,3350.0,190782.485,170225.0,25541.0,930603.75,27381.0
200611,9965.0,30102.0,58840.6,14666.0,167800.0,101183.0,61378.0,55190.0,143822.0,72762.0,401511.0,46778.0,65269.0,120634.0,40313.0,104742.0,35439.0,193306.0,316305.0,48933.0,31004.0,2334.0,182346.0,158829.0,26724.0,950276.0,25572.0
200612,9734.0,28794.0,36857.0,9867.0,172041.0,106958.0,50865.0,53589.0,117025.0,76473.0,354139.0,38909.0,51531.0,111767.0,40005.0,103693.0,34674.0,169285.0,300099.0,50305.0,26292.0,3251.0,169954.29,139348.0,26478.0,821024.351,22114.0
200701,6647.0,34100.0,57622.0,14985.0,191238.0,95626.0,56123.0,76743.0,136126.0,66018.0,389550.0,42744.0,61532.0,110404.0,44532.0,116887.0,32273.0,168549.0,314579.0,52024.0,23886.0,2530.0,179615.0,155540.0,29457.0,868685.0,27135.0
200702,6138.0,27356.0,51061.0,10988.0,148904.0,65624.0,46807.0,67311.0,108339.0,46901.0,355526.0,37565.0,44927.0,83941.0,34753.0,92475.0,22327.0,160048.0,289157.0,42567.0,17043.0,2885.0,158886.0,143950.0,22985.0,843901.0,22195.0
200703,9225.0,31753.0,57695.0,16338.0,185388.0,78343.0,63343.0,85163.0,156805.0,58996.0,460107.0,47589.0,62172.0,95591.0,41195.0,105918.0,29210.0,193273.0,358097.0,48994.0,26506.0,3519.0,191003.0,162835.0,26894.0,1013232.0,25910.0
200704,7545.0,28188.0,55162.0,8870.0,178255.0,69913.0,59052.0,69220.0,153463.0,47399.0,424702.0,44965.0,62588.0,92585.0,35818.0,92821.0,23381.0,172940.0,320731.0,41894.0,24619.0,2635.0,178867.0,151579.0,23109.0,904763.0,31577.0
200705,9279.0,29624.0,41137.0,11095.0,192947.0,84748.0,66618.0,76813.0,174670.0,60944.0,466812.0,47485.0,73139.0,91907.0,40250.0,103828.0,29926.0,184252.0,348055.0,47464.0,27225.0,2555.0,186781.0,154226.0,23938.0,999487.0,38954.0
200706,9651.0,25216.0,62169.0,6493.0,166769.0,91821.0,66917.0,75526.0,171606.0,67694.0,471673.0,50767.0,76429.0,107999.0,33230.0,93844.0,29326.0,188100.0,339532.0,41318.0,30325.0,3210.0,174657.0,171583.0,22669.0,989026.0,41066.0
200707,9541.0,26504.0,59404.0,9051.0,182507.0,105940.0,72223.0,81935.0,182293.0,75379.0,496171.0,52952.0,73046.0,98977.0,39598.0,107275.0,33838.0,193222.0,355153.0,49578.0,31345.0,3001.0,186040.0,173115.0,24124.0,976498.0,45450.0
200708,17165.0,27872.0,64462.0,11339.0,200526.0,113440.0,75666.0,86992.0,190437.0,81215.0,531411.0,56268.0,88404.0,119585.0,44056.0,114591.0,35390.0,230158.0,393579.0,55472.0,41466.0,3026.0,200352.0,197102.0,26244.0,1166121.0,47715.0
200709,15001.0,28082.0,57133.0,15643.0,185443.0,107511.0,75781.0,82440.0,169326.0,73794.0,483813.0,57078.0,74194.0,102989.0,42388.0,108729.0,32220.0,217347.0,339874.0,50879.0,31547.0,2157.0,189412.0,183864.0,25683.0,1017982.0,35123.0
