estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg,consumo
SE,2018-11-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.35,3.81,0.26,0.02462,0.8,0.68,0.64,0.88,7813724.30644261,12.1,-999.0,114.41011066094217,21.5,0.43,30748.0
SE,2018-12-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.13,3.59,-1.14,0.02462,0.8,0.68,0.64,0.86,7813724.30644261,11.9,156991.0,113.55638800897358,21.5,0.43,30734.0
SE,2019-01-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.13,3.75,-0.45,0.02462,0.8,0.68,0.64,0.85,7813724.30644261,12.3,72692.0,110.68054377608554,21.5,0.43,36567.0
SE,2019-02-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.49,0.32,0.07,0.02462,0.8,0.68,0.64,0.81,7827728.36985003,12.7,-999.0,114.92158363400026,21.5,0.43,30849.0
SE,2019-03-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.09,0.75,1.25,0.02462,0.8,0.68,0.64,0.75,7827728.36985003,13.2,84228.0,115.47886803853773,21.5,0.43,31021.0
SE,2019-04-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.31,1.51,1.07,0.02462,0.8,0.68,0.64,0.74,7827728.36985003,13.0,243318.0,109.19062110033497,21.0,0.42,31437.0
SE,2019-05-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.38,2.09,0.9,0.02462,0.8,0.68,0.64,0.7,7827728.36985003,12.8,172902.0,110.365158342836,21.5,0.43,31533.0
SE,2019-06-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.03,2.22,0.4,0.02462,0.8,0.68,0.64,0.71,7827728.36985003,12.6,50423.0,107.45921434364682,21.5,0.43,26431.0
SE,2019-07-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.88,2.23,0.63,0.02462,0.8,0.68,0.64,0.7,7827728.36985003,12.4,480554.0,111.43284636588436,21.5,0.43,25978.0
SE,2019-08-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.58,2.42,-0.01,0.02462,0.8,0.68,0.64,0.69,7827728.36985003,12.3,69743.0,113.77650566926816,21.5,0.43,29860.0
SE,2019-09-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.42,2.54,-0.51,0.022751,0.8,0.68,0.64,0.62,7827728.36985003,12.0,-999.0,106.96565791794627,21.5,0.43,39045.0
SE,2019-10-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.46,2.49,0.5,0.02203519048,0.8,0.68,0.64,0.59,7827728.36985003,11.9,104780.0,101.90464636661407,21.0,0.42,45213.0
SE,2019-11-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.18,2.6,0.55,0.02078995652,0.8,0.68,0.64,0.57,7827728.36985003,11.7,-999.0,102.79664731627324,21.0,0.42,42237.0
SE,2019-12-01,1841251.6357537585,3106822.088198333,0.8081662513416666,1091267.90924522,2278308.0,0.04,3.12,0.85,0.018985,0.8,0.68,0.64,0.54,7827728.36985003,11.7,126298.0,101.0746400118402,21.0,0.42,39732.0
SP,2003-01-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.7,12.53,2.7,0.08229309524,0.786,0.756,0.581,3.46,6098524.41582601,11.8193510303,-1.0,91.01188670399073,16.5,0.33,782111.0
SP,2003-02-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.51,2.25,2.17,0.08877068182,0.786,0.756,0.581,3.59,6172460.00795063,11.8193510303,-999.0,101.7915309446254,17.5,0.35,789891.0
SP,2003-03-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.39,3.86,1.59,0.09073265,0.786,0.756,0.581,3.84,6172460.00795063,11.8193510303,39371.0,97.47131558427093,17.5,0.35,774309.0
SP,2003-04-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.38,5.13,1.66,0.092749,0.786,0.756,0.581,3.95,6172460.00795063,11.8193510303,129339.0,101.54051466535148,17.5,0.35,782071.0
SP,2003-05-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.9,6.15,0.41,0.0927578,0.786,0.756,0.581,4.06,6172460.00795063,11.8193510303,52461.0,112.22624811620226,17.5,0.35,841400.0
SP,2003-06-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,2.84,6.8,-0.67,0.09272338095,0.786,0.756,0.581,3.94,6172460.00795063,11.8193510303,51606.0,121.79855871705516,18.0,0.36,757875.0
SP,2003-07-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.05,6.64,-0.7,0.092025,0.786,0.756,0.581,3.6,6172460.00795063,11.8193510303,349634.0,124.86126526082133,18.0,0.36,857128.0
SP,2003-08-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.99,6.85,-0.2,0.08972826087,0.786,0.756,0.581,3.23,6172460.00795063,11.8193510303,47873.0,125.00868115841378,18.0,0.36,785016.0
SP,2003-09-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.44,7.22,0.62,0.083783,0.786,0.756,0.581,3.17,6172460.00795063,11.8193510303,30566.0,116.56952539550376,17.5,0.35,827220.0
SP,2003-10-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.22,8.05,1.05,0.07573604545,0.786,0.756,0.581,2.7,6172460.00795063,11.8193510303,137995.0,123.16956343232516,18.0,0.36,853721.0
SP,2003-11-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.65,8.37,0.44,0.07083917391,0.786,0.756,0.581,2.65,6172460.00795063,11.8193510303,-999.0,122.3134719552682,17.5,0.35,766030.0
SP,2003-12-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.04,8.74,0.48,0.0667516,0.786,0.756,0.581,2.36,6172460.00795063,11.8193510303,159272.0,120.11805889216828,17.5,0.35,711279.0
