data;estados;consumo;y_pred
2004-05-01;AM;39036,0;
2004-06-01;AM;55435,6;
2004-07-01;AM;56241,96;
2004-08-01;AM;58104,524000000005;
2004-09-01;AM;41072,0;
2004-10-01;AM;55694,057;
2004-11-01;AM;44211,0;
2004-12-01;AM;62309,776;
2005-01-01;AM;39696,0;
2005-02-01;AM;56004,938;
2005-03-01;AM;39376,0;
2005-04-01;AM;59327,426;
2005-05-01;AM;40816,0;
2005-06-01;AM;58167,288;
2005-07-01;AM;46075,0;
2005-08-01;AM;61321,4;
2005-09-01;AM;49763,0;
2005-10-01;AM;59289,95;
2005-11-01;AM;58858,12;
2005-12-01;AM;44592,0;
2006-01-01;AM;51658,0;
2006-02-01;AM;47766,0;
2006-03-01;AM;63751,501;
2006-04-01;AM;39106,0;
2006-05-01;AM;56475,867;
2006-06-01;AM;41108,0;
2006-07-01;AM;59762,7;
2006-08-01;AM;63997,04;
2006-09-01;AM;56749,14;
2006-10-01;AM;50073,953;
2006-11-01;AM;58840,6;
2006-12-01;AM;36857,0;
2007-01-01;AM;57622,0;
2007-02-01;AM;51061,0;
2007-03-01;AM;57695,0;
2007-04-01;AM;55162,0;
2007-05-01;AM;41137,0;
2007-06-01;AM;62169,0;
2007-07-01;AM;59404,0;
2007-08-01;AM;64462,0;
2007-09-01;AM;57133,0;
2007-10-01;AM;53736,0;
2007-11-01;AM;54047,0;
2007-12-01;AM;53303,0;
2008-01-01;AM;77287,0;
2008-02-01;AM;42181,0;
2008-03-01;AM;56733,0;
2008-04-01;AM;63010,0;
2008-05-01;AM;61179,0;
2008-06-01;AM;46974,0;
2008-07-01;AM;72652,0;
2008-08-01;AM;66121,0;
2008-09-01;AM;87346,0;
2008-10-01;AM;56694,0;
2008-11-01;AM;71614,0;
2008-12-01;AM;67442,0;
2009-01-01;AM;57070,0;
2009-02-01;AM;54492,0;
2009-03-01;AM;58917,0;
2009-04-01;AM;57781,0;
2009-05-01;AM;59290,0;
